CustomerID,Coverage,EmploymentStatus,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Vehicle.Class
17,Basic,Employed,43836,Single,73,0,1,Offer1,Four-Door Car
19,Extended,Employed,28812,Married,93,0,8,Offer2,Four-Door Car
29,Premium,Employed,77026,Married,110,2,3,Offer2,Four-Door Car
34,Basic,Employed,24599,Married,64,1,2,Offer2,Four-Door Car
37,Extended,Disabled,13789,Divorced,79,0,1,Offer4,Four-Door Car
44,Basic,Medical Leave,14072,Divorced,71,0,2,Offer1,Four-Door Car
48,Basic,Employed,97541,Married,72,0,3,Offer2,Four-Door Car
49,Premium,Unemployed,0,Single,111,0,1,Offer1,Four-Door Car
54,Extended,Employed,65999,Married,237,0,6,Offer2,Luxury SUV
65,Basic,Employed,37260,Married,62,0,8,Offer3,Four-Door Car
77,Basic,Employed,23218,Single,71,0,4,Offer4,Two-Door Car
80,Extended,Unemployed,0,Married,92,0,1,Offer2,Four-Door Car
94,Basic,Employed,36014,Married,69,3,2,Offer4,Four-Door Car
95,Basic,Unemployed,0,Married,101,0,1,Offer1,SUV
107,Premium,Disabled,11621,Divorced,108,0,1,Offer1,Four-Door Car
113,Extended,Unemployed,0,Single,94,0,1,Offer1,Two-Door Car
115,Basic,Employed,33663,Married,73,0,1,Offer3,Four-Door Car
131,Extended,Employed,61486,Married,97,0,2,Offer4,Two-Door Car
144,Basic,Employed,65186,Married,65,0,1,Offer2,Two-Door Car
148,Basic,Employed,61321,Single,186,1,2,Offer2,Luxury Car
157,Premium,Medical Leave,21513,Married,119,1,2,Offer2,Two-Door Car
158,Basic,Unemployed,0,Single,70,0,1,Offer1,Four-Door Car
191,Extended,Unemployed,0,Single,130,0,4,Offer1,SUV
196,Basic,Employed,32303,Married,65,0,2,Offer3,Four-Door Car
198,Extended,Employed,56398,Married,85,0,7,Offer4,Four-Door Car
203,Basic,Unemployed,0,Married,102,1,3,Offer1,SUV
224,Basic,Employed,33555,Married,63,0,1,Offer1,Four-Door Car
232,Premium,Employed,42780,Divorced,113,1,2,Offer1,Four-Door Car
235,Extended,Employed,21880,Married,97,0,1,Offer1,Four-Door Car
245,Basic,Employed,28406,Married,72,1,4,Offer1,Four-Door Car
250,Basic,Unemployed,0,Single,117,0,1,Offer1,SUV
253,Basic,Employed,28859,Divorced,67,3,4,Offer1,Two-Door Car
258,Premium,Unemployed,0,Married,105,0,1,Offer1,Four-Door Car
261,Basic,Employed,95697,Married,107,0,9,Offer2,Sports Car
262,Extended,Disabled,26372,Married,126,0,1,Offer4,SUV
263,Basic,Unemployed,0,Single,61,1,7,Offer1,Four-Door Car
275,Basic,Employed,61846,Married,112,0,1,Offer2,SUV
279,Basic,Employed,21709,Married,62,0,3,Offer2,Four-Door Car
285,Extended,Employed,61709,Married,82,2,7,Offer3,Four-Door Car
286,Premium,Disabled,27679,Single,150,0,3,Offer1,SUV
290,Basic,Unemployed,0,Single,116,0,2,Offer1,SUV
304,Extended,Employed,68964,Married,78,0,3,Offer3,Four-Door Car
