Coverage,EmploymentStatus,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Vehicle.Class,Customer.Lifetime.Value
Basic,Unemployed,0,Married,67,0,2,Offer2,Four-Door Car,7824.372789
Basic,Employed,63357,Married,101,0,5,Offer2,SUV,8005.964669
Basic,Employed,64125,Married,108,0,3,Offer2,SUV,8646.504109
Basic,Employed,67544,Married,116,0,3,Offer1,SUV,9294.088719
Basic,Retired,19651,Married,72,0,5,Offer2,Two-Door Car,5595.971365
Extended,Employed,23589,Married,211,0,6,Offer2,Luxury SUV,16570.09009
Extended,Employed,74126,Married,90,0,1,Offer2,Two-Door Car,3653.703458
Extended,Employed,31409,Married,93,0,2,Offer1,Four-Door Car,11154.67599
Basic,Employed,58577,Married,110,0,1,Offer1,SUV,4428.031583
Basic,Retired,19683,Married,117,1,9,Offer1,Sports Car,8382.630118
Basic,Employed,30598,Married,106,0,1,Offer3,SUV,4198.02525
Basic,Unemployed,0,Divorced,112,2,1,Offer1,SUV,3839.606117
Basic,Employed,51159,Married,72,0,1,Offer2,Four-Door Car,2860.111745
Basic,Employed,44509,Married,61,0,1,Offer3,Four-Door Car,2446.681538
Basic,Employed,73274,Married,105,0,2,Offer3,SUV,12694.88894
Basic,Employed,74905,Single,72,0,3,Offer1,Four-Door Car,5714.562292
Basic,Unemployed,0,Single,104,0,3,Offer3,SUV,7218.085486
Premium,Employed,88895,Single,108,0,8,Offer1,Four-Door Car,8500.12195
Extended,Employed,40672,Divorced,121,0,3,Offer1,SUV,9559.340024
Basic,Employed,70340,Married,113,0,1,Offer1,Sports Car,4540.9925
Basic,Employed,44818,Divorced,68,0,2,Offer1,Four-Door Car,7950.178237
Premium,Employed,84488,Married,182,0,2,Offer1,SUV,20120.56053
Premium,Unemployed,0,Single,107,0,3,Offer1,Four-Door Car,7664.80924
Basic,Unemployed,0,Married,104,3,7,Offer1,Sports Car,7341.861257
Extended,Unemployed,0,Single,84,0,1,Offer3,Four-Door Car,2876.775085
Basic,Employed,61546,Married,68,0,3,Offer4,Two-Door Car,5439.804227
Basic,Unemployed,0,Married,61,1,1,Offer4,Two-Door Car,2124.173841
Extended,Employed,37384,Married,93,1,1,Offer2,Four-Door Car,3673.525732
Basic,Medical Leave,17483,Married,183,0,1,Offer2,Luxury Car,7126.596501
Basic,Medical Leave,10269,Single,65,0,3,Offer1,Two-Door Car,4525.365839
Basic,Employed,54289,Married,62,0,2,Offer2,Four-Door Car,7385.359236
Basic,Employed,33190,Divorced,106,0,2,Offer1,SUV,33473.34946
Extended,Employed,23649,Married,122,0,6,Offer1,SUV,9706.375239
Extended,Unemployed,0,Divorced,128,0,2,Offer1,SUV,17530.03658
Extended,Employed,43736,Married,128,0,3,Offer1,SUV,10209.9339
Extended,Employed,52693,Married,129,0,5,Offer1,SUV,10248.89802
Basic,Medical Leave,16208,Married,70.93935786,0,1,Offer2,Four-Door Car,2935.988346
Basic,Employed,76731,Married,64,0,1,Offer2,Four-Door Car,2582.408525
Basic,Unemployed,0,Single,110,1,5,Offer3,SUV,6863.706694
Basic,Disabled,25539,Married,112,1,7,Offer2,SUV,8566.423522
Basic,Medical Leave,16244,Married,68,0,1,Offer4,Two-Door Car,2523.959554
Premium,Employed,53787,Married,104,0,1,Offer1,Four-Door Car,4150.836913
Basic,Employed,85355,Married,71,2,2,Offer2,Two-Door Car,8405.752991
Basic,Employed,69040,Married,108,0,1,Offer1,Sports Car,4327.098922
Premium,Unemployed,0,Single,119,1,3,Offer1,Four-Door Car,7559.206998
Basic,Employed,36631,Divorced,62,0,1,Offer1,Four-Door Car,2491.317024
Extended,Employed,37995,Married,139,0,1,Offer1,SUV,5597.12496
Extended,Employed,70263,Married,93,0,5,Offer2,Two-Door Car,7462.926263
Basic,Employed,36737,Married,69,0,2,Offer2,Two-Door Car,8149.769437
Extended,Unemployed,0,Single,80,0,1,Offer2,Four-Door Car,2933.498052
Extended,Unemployed,0,Married,136,0,2,Offer1,SUV,14325.15261
Basic,Employed,25318,Married,63,2,2,Offer2,Four-Door Car,7367.653764
Premium,Unemployed,0,Married,110,0,7,Offer1,Four-Door Car,8278.786492
Extended,Employed,85297,Married,93,0,2,Offer2,Two-Door Car,14970.28509
Basic,Employed,45270,Single,70,0,2,Offer4,Two-Door Car,8161.781091
Extended,Employed,97238,Divorced,126,0,3,Offer3,SUV,10090.40808
Basic,Employed,42303,Married,180,0,1,Offer2,Luxury SUV,7180.971028
Basic,Employed,39718,Married,65,2,1,Offer1,Four-Door Car,2515.411468
Basic,Employed,29629,Married,71,4,5,Offer1,Four-Door Car,5433.214031
Basic,Unemployed,0,Single,73,3,2,Offer2,Four-Door Car,6952.651187
Basic,Disabled,17099,Married,74.57365361,0,9,Offer1,Four-Door Car,5354.365535
Extended,Employed,52965,Married,134,3,4,Offer4,SUV,10682.7619
Basic,Unemployed,0,Single,63,0,1,Offer2,Two-Door Car,2254.931708
Basic,Employed,29697,Married,64,0,2,Offer3,Four-Door Car,7540.584824
Basic,Unemployed,0,Single,68,0,7,Offer4,Two-Door Car,4874.0748
Basic,Unemployed,0,Married,71,0,3,Offer1,Four-Door Car,5507.063242
Basic,Unemployed,0,Single,119,0,1,Offer2,SUV,4035.769432
Extended,Employed,53441,Married,76,0,1,Offer4,Two-Door Car,3045.05813
Basic,Employed,86498,Married,74,1,5,Offer3,Two-Door Car,5893.368906
Extended,Employed,35666,Divorced,130,0,1,Offer1,Sports Car,5150.416511
Extended,Employed,53984,Divorced,80,0,1,Offer1,Four-Door Car,3214.979402
Basic,Employed,81741,Single,64,0,8,Offer1,Four-Door Car,5047.483378
Basic,Employed,74454,Single,71,0,3,Offer2,Four-Door Car,5585.30807
Extended,Unemployed,0,Married,87,0,2,Offer1,Four-Door Car,16060.06949
Basic,Medical Leave,25143,Married,68,0,1,Offer1,Four-Door Car,2566.782278
Basic,Employed,25927,Single,104.943802,0,1,Offer2,SUV,3933.813993
Basic,Unemployed,0,Married,73,0,5,Offer1,Four-Door Car,5504.139033
Extended,Retired,13663,Single,97,0,2,Offer1,Four-Door Car,25464.82059
Basic,Unemployed,0,Married,70,0,2,Offer1,Four-Door Car,7919.832069
Basic,Employed,50549,Divorced,61,0,7,Offer1,Four-Door Car,4745.181764
Basic,Unemployed,0,Divorced,73,0,3,Offer1,Four-Door Car,5296.838482
Premium,Employed,79655,Married,296,0,9,Offer2,Luxury Car,23984.62144
Basic,Retired,22828,Married,106,0,2,Offer1,SUV,16473.16905
Basic,Employed,47199,Married,119.0014847,0,1,Offer1,Sports Car,3874.86854
Basic,Unemployed,0,Married,63,0,1,Offer2,Two-Door Car,2287.59692
Extended,Employed,49078,Single,83,0,2,Offer2,Four-Door Car,26413.54751
Basic,Medical Leave,11343,Married,74.52990486,0,5,Offer1,Two-Door Car,5595.389905
Extended,Employed,47778,Married,96,0,7,Offer2,Four-Door Car,7606.70898
Extended,Employed,25411,Single,92,0,3,Offer4,Four-Door Car,6997.008618
Basic,Employed,68342,Divorced,72,0,6,Offer2,Two-Door Car,5697.175238
Basic,Employed,79751,Married,65,0,1,Offer3,Two-Door Car,2561.576924
Basic,Employed,34911,Divorced,105,1,1,Offer4,SUV,4039.315002
Extended,Retired,10312,Married,78,0,1,Offer2,Four-Door Car,2886.451602
Basic,Employed,43682,Married,107,0,1,Offer3,SUV,4267.076892
Basic,Employed,56342,Single,67,0,1,Offer2,Four-Door Car,2668.662697
Basic,Employed,25915,Married,63,1,8,Offer2,Four-Door Car,5004.310469
Basic,Employed,83318,Married,83.58920991,0,1,Offer4,Two-Door Car,2956.358303
Extended,Employed,43987,Married,96,0,1,Offer2,Four-Door Car,3843.965188
Premium,Medical Leave,19464,Single,95.40261324,0,1,Offer1,Four-Door Car,2971.919417
Basic,Medical Leave,17193,Divorced,66,0,1,Offer1,Four-Door Car,2506.263939
Extended,Employed,42961,Married,83,0,2,Offer2,Four-Door Car,26453.93512
Basic,Unemployed,0,Single,69,0,8,Offer1,Four-Door Car,4836.054291
Basic,Employed,94362,Divorced,74,0,1,Offer1,Two-Door Car,2957.102851
Extended,Employed,73339,Divorced,89,0,2,Offer2,Four-Door Car,17788.05705
Premium,Unemployed,0,Single,114,0,2,Offer1,Four-Door Car,11880.96623
Basic,Unemployed,0,Married,71,1,1,Offer3,Four-Door Car,2444.741307
Premium,Employed,30361,Married,119,1,1,Offer2,Four-Door Car,4781.821034
Basic,Employed,29462,Single,107,1,1,Offer2,SUV,4170.687348
Extended,Medical Leave,18052,Married,96,0,1,Offer2,Four-Door Car,3657.585449
Basic,Employed,35334,Married,65,0,4,Offer4,Four-Door Car,5170.450306
Premium,Employed,68568,Married,223,1,6,Offer4,Luxury Car,18089.79629
